方法,迭代次数,目标函数值,视觉质量,节水效率,生态价值,经济性
梯度下降,0,-0.40283796780995196,0.5035000000001006,0.5030000000000863,0.5025000000000719,0.49899999999997124
梯度下降,1,-0.4056308307231074,0.5070345429195595,0.5058815717607352,0.504997500000492,0.4979999999999425
梯度下降,2,-0.40838438141170663,0.5106039654243495,0.5086494294615491,0.50749250250065,0.49699999999991373
梯度下降,3,-0.41110402078943137,0.5142086030116562,0.5113081317343333,0.5099850099985477,0.495999999999885
梯度下降,4,-0.41379478325355207,0.5178487897375956,0.513862080105731,0.5124750249888561,0.4949999999998562
梯度下降,5,-0.41646136126117644,0.5215248579304994,0.5163155187721253,0.5149625499643036,0.49399999999982747
梯度下降,6,-0.41910812902302913,0.5252371378919869,0.5186725354764383,0.5174475874145652,0.4929999999997987
梯度下降,7,-0.42173916516463655,0.5289859575847151,0.5209370632942019,0.5199301398273732,0.49199999999976995
梯度下降,8,-0.42435827425167805,0.5327716423062507,0.5231128831548744,0.5224102096876844,0.4909999999997412
梯度下降,9,-0.42696900712147134,0.5365945143510071,0.5252036269549061,0.5248877994785124,0.48999999999971244
梯度下降,10,-0.42957467998782056,0.5404548926541404,0.5272127811312695,0.5273629116795404,0.4889999999996837
梯度下降,11,-0.432178392320436,0.5443530924251756,0.5291436905894282,0.5298355487682311,0.48799999999965493
梯度下降,12,-0.43478304351157127,0.5482894247649801,0.5309995628955395,0.5323057132198268,0.4869999999996262
梯度下降,13,-0.43739134836015225,0.5522641962683035,0.5327834726515652,0.5347734075070716,0.4859999999995974
梯度下降,14,-0.4400058514141651,0.5562777086116073,0.5344983659905651,0.5372386340999342,0.48499999999956867
梯度下降,15,-0.44262894021856575,0.5603302581253518,0.5361470651369378,0.5397013954664405,0.4839999999995399
梯度下降,16,-0.4452628575200276,0.5644221353512942,0.5377322729849805,0.5421616940712854,0.48299999999951115
梯度下降,17,-0.4479097124851507,0.5685536245847995,0.5392565776616283,0.5446195323774989,0.4819999999994824
梯度下降,18,-0.4505714909859157,0.5727250034013305,0.540722457040343,0.5470749128456127,0.48099999999945364
梯度下降,19,-0.4532500650089456,0.5769365421668389,0.5421322831822835,0.5495278379331054,0.4799999999994249
梯度下降,20,-0.45594720124478966,0.5811885035337245,0.5434883266869912,0.5519783100955129,0.47899999999939613
梯度下降,21,-0.4586645689092472,0.585481141921806,0.544792760935386,0.5544263317858729,0.4779999999993674
梯度下降,22,-0.461403746848125,0.5898147029829155,0.5460476662150766,0.5568719054544475,0.4769999999993386
梯度下降,23,-0.464166229975065,0.5941894230505058,0.547255033719662,0.5593150335492787,0.47599999999930986
梯度下降,24,-0.46695343508858156,0.598605528575102,0.5484167694139725,0.5617557185161877,0.4749999999992811
梯度下降,25,-0.46976670611123766,0.6030632355430994,0.5495346977646971,0.5641939627979426,0.47399999999925235
梯度下降,26,-0.47260731879471796,0.6075627488839048,0.5506105653327871,0.5666297688356465,0.4729999999992236
梯度下降,27,-0.4754764849270547,0.6121042618637547,0.551646044225695,0.5690631390670715,0.47199999999919484
梯度下降,28,-0.47837535607696363,0.6166879554601041,0.5526427354141656,0.5714940759283245,0.4709999999991661
梯度下降,29,-0.4813050269133399,0.6213139977315758,0.5536021719096946,0.5739225818527367,0.46999999999913733
梯度下降,30,-0.484266538125655,0.6259825431687567,0.5545258218095923,0.5763486592711415,0.4689999999991086
梯度下降,31,-0.4872608789776694,0.6306937320352808,0.5554150912104867,0.5787723106121518,0.4679999999990798
梯度下降,32,-0.4902889895218557,0.6354476897008627,0.5562713269944282,0.5811935383018825,0.46699999999905106
梯度下降,33,-0.49335176249659585,0.6402445259604534,0.557095819490649,0.5836123447639503,0.4659999999990223
梯度下降,34,-0.49645004493223927,0.645084334346457,0.5578898050171417,0.5860287324194742,0.46499999999899355
梯度下降,35,-0.49958463948674325,0.6499671914326206,0.5586544683070511,0.5884427036873525,0.4639999999989648
梯度下降,36,-0.5027563055300696,0.6548931561290434,0.5593909448237673,0.5908542609839857,0.46299999999893604
梯度下降,37,-0.5059657599999582,0.6598622689769069,0.560100322967771,0.5932634067229987,0.4619999999989073
梯度下降,38,-0.5092136780409281,0.6648745514309935,0.5607836461818945,0.595670143316906,0.46099999999887853
梯度下降,39,-0.5125006934488738,0.6699300051466457,0.561441914956939,0.5980744731737815,0.4599999999988498
梯度下降,40,-0.5158273989344382,0.6750286112611743,0.5620760887448668,0.6004763987011437,0.458999999998821
梯度下降,41,-0.5191943462195183,0.6801703296777646,0.5626870877795671,0.6028759223026254,0.45799999999879226
梯度下降,42,-0.5226020459815631,0.685355098347717,0.5632757948137996,0.6052730463807494,0.4569999999987635
梯度下降,43,-0.526050967661959,0.6905828325637904,0.563843056772872,0.6076677733347076,0.45599999999873475
梯度下降,44,-0.5295415391448539,0.695853424249659,0.5643896863311566,0.6100601055614714,0.454999999998706
梯度下降,45,-0.5330741463277721,0.7011667412665785,0.5649164634125565,0.6124500454563471,0.45399999999867724
梯度下降,46,-0.5366491325881211,0.7065226267244924,0.5654241366210284,0.6148375954113101,0.4529999999986485
梯度下降,47,-0.5402667981625348,0.7119208983075715,0.5659134246028259,0.6172227578161156,0.45199999999861973
